ID,Ազգանուն Անուն Հայրանուն,Սեռ,Մարզ,Մարզադպրոցի անվանում,Մարզիչ,,rating_standard_2017,rating_standard_2018,rating_standard_2019,rating_standard_2020,rating_standard_2021,rating_standard_2022
1005596,Աբազյան Արամ Վանիկի,ար,Երևան,Անհատական,Անհատական,2456,2466,2443,2417,2417,2420,2420
1005597,Աբազյան Գոռ Արայիկի,ար,Շիրակ,Արթիկի շ/դ - ՀՇԱ,Տոնոյան Ար.,2422,2422,2422,2422,2422,2422,2422
1005598,Աբաղյան Ալեն Սամվելի,ար,Երևան,Անհատական,Անհատական,1607,1607,1607,1607,1607,1607,1607
1005599,Աբաջյան Արթուր Արմենի,ար,Երևան,Զեյթուն,Պլուզյան Ա.,2116,2116,2116,2116,2116,2116,2116
1005600,Աբաջյան Արփի Վահագնի,իգ,Երևան,Տ. Պետրոսյան,Նորայր Մ.,2469,2410,2398,2407,2441,2440,2425
1005601,Աբաջյան Դավիթ Մանուկի,ար,Երևան,Կենտրոն,Սիմոն Մ.,2425,2425,2425,2425,2425,2425,2425
1005170,Աբաջյան Լիկա Լեոնարդի,իգ,Երևան,Անհատական,Անհատական,2343,2343,2343,2343,2343,2343,2340
1005602,Աբաջյան Մոնթե Արմանի,ար,Երևան,Ավան,Արթուր Հ.,2340,2340,2340,2340,2340,2340,2447
1005603,Աբաջյան Նարեկ Վահագնի,ար,Երևան,Տ. Պետրոսյան,Նորայր Մ.,2447,2447,2447,2447,2447,2447,2378
1014039,Աբգարյան Անի Մակիչի,իգ,Երևան,Տ. Պետրոսյան,Խալաֆյան Է.,2386,2386,2386,2376,2376,2378,2514
1005604,Աբգարյան Անի Մկրտիչի,իգ,Երևան,Նուբարաշեն,Գևորգյան Վ.,2520,2520,2520,2520,2520,2514,1879
1005605,Աբգարյան Աշոտ Արամի,ար,Երևան,Անհատական,Անհատական,1879,1879,1879,1879,1879,1879,2438
1005606,Աբգարյան Արսեն Էդգարի,ար,Արարատ,Արտաշատի ա/կ,Սիմոնյան Սուս.,2438,2438,2438,2438,2438,2438,1930
1005607,Աբգարյան Գնել Հովսեփի,ար,Կոտայք,Աբովյանի շ/դ,Պետրոսյան Ա.,2382,2382,2382,2382,2382,2382,2435
1005608,Աբգարյան Կարինա Ներսեսի,իգ,Երևան,Ավան,Ղուկասյան Հ.,1930,1930,1930,1930,1930,1930,2391
1005609,Աբգարյան Հայկ Արգամի,ար,Երևան,Նոր Նորք,Ինդատ Կ.,2435,2435,2435,2440,2443,2435,2380
